,ChlA,QA_PIXEL,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,ST_B6,date,lat,lon,name,scene_id
49,2.61,5504,8501.0,8759.0,8488.0,8457.0,8244.0,8099.0,40057.0,2005-03-29,-93.0811,29.5079,Point_5,4_LT05_024039_20050329
50,2.61,5504,9106.0,9204.0,8868.0,8740.0,8329.0,8126.0,40057.0,2005-03-29,-93.0811,29.5079,Point_5,4_LT05_024040_20050329
51,6.59,5504,9129.0,9550.0,9274.0,9082.0,8752.0,8668.0,43853.0,2006-04-17,-89.5,29.091,Point_4,3_LT05_022040_20060419
52,0.21,5504,8713.0,8247.0,7887.0,7659.0,7460.0,7699.0,42739.0,2006-04-13,-92.397,28.657,Point_1,0_LT05_023040_20060410
53,2.32,5504,8981.0,8923.0,8100.0,7780.0,7631.0,7699.0,42735.0,2006-04-13,-92.385,29.158,Point_3,2_LT05_023040_20060410
54,7.2,5504,9116.0,9466.0,8428.0,7779.0,7457.0,7700.0,42737.0,2006-04-13,-92.384,29.308,Point_5,4_LT05_023040_20060410
55,0.39,5504,8777.0,8242.0,7882.0,7781.0,7544.0,7333.0,42736.0,2006-04-13,-92.393,28.909,Point_7,6_LT05_023040_20060410
56,16.86,5504,8218.0,8782.0,8628.0,8296.0,7905.0,7944.0,43177.0,2006-04-05,-89.538,29.002,Point_1,0_LT05_022040_20060403
57,22.17,5504,8218.0,8782.0,8504.0,8296.0,8000.0,8078.0,43177.0,2006-04-06,-89.537,29.002,Point_2,1_LT05_022040_20060403
58,28.87,5504,8375.0,8782.0,8628.0,8296.0,8094.0,7811.0,43177.0,2006-04-06,-89.537,29.003,Point_3,2_LT05_022040_20060403
59,0.68,5504,8845.0,8921.0,8318.0,8037.0,7717.0,7699.0,42885.0,2006-04-10,-92.384,29.034,Point_1,0_LT05_023040_20060410
60,0.7,5504,8579.0,8379.0,7882.0,7780.0,7544.0,7577.0,42733.0,2006-04-10,-92.383,29.034,Point_2,1_LT05_023040_20060410
61,0.57,5504,8713.0,8515.0,7991.0,7781.0,7458.0,7699.0,42733.0,2006-04-11,-92.388,29.036,Point_1,0_LT05_023040_20060410
62,0.65,5504,8713.0,8379.0,7991.0,7781.0,7631.0,7454.0,42733.0,2006-04-11,-92.387,29.036,Point_2,1_LT05_023040_20060410
63,0.36,5504,8713.0,8515.0,8101.0,7909.0,7631.0,7577.0,42733.0,2006-04-12,-92.389,29.037,Point_1,0_LT05_023040_20060410
64,7.45,7698,9784.0,10092.0,9900.0,9694.0,9328.0,9353.0,44047.0,2006-06-07,-90.16473,29.04362,Point_12,11_LT05_022040_20060606
